Date,Dividend,Close
"Dec 31, 1871",5.41,101.05
"Dec 31, 1872",6.1,103.86
"Dec 31, 1873",7.13,99.08
"Dec 31, 1874",7.54,103.74
"Dec 31, 1875",7.21,108.11
"Dec 31, 1876",7.34,85.35
"Dec 31, 1877",5.25,92.61
"Dec 31, 1878",5.79,113.72
"Dec 31, 1879",5.42,134.53
"Dec 31, 1880",7.19,172.83
"Dec 31, 1881",8.27,152.95
"Dec 31, 1882",8.42,152.96
"Dec 31, 1883",9.4,147.61
"Dec 31, 1884",9.85,134.68
"Dec 31, 1885",7.72,171.17
"Dec 31, 1886",7.42,183.68
"Dec 31, 1887",7.94,166.86
"Dec 31, 1888",7.31,172.49
"Dec 31, 1889",7.42,185.94
"Dec 31, 1890",7.32,163.2
"Dec 31, 1891",7.69,197.71
"Dec 31, 1892",8.29,186.77
"Dec 31, 1893",9.34,165.87
"Dec 31, 1894",8.41,170.14
"Dec 31, 1895",7.39,168.63
"Dec 31, 1896",7.11,171.55
"Dec 31, 1897",7.11,192.72
"Dec 31, 1898",7.78,236.56
"Dec 31, 1899",6.99,203.09
31-Dec-00,10.37,241.18
31-Dec-01,10.53,270.34
31-Dec-02,10.14,256.94
31-Dec-03,11.38,212.19
31-Dec-04,9.63,261.77
31-Dec-05,10.25,306.49
31-Dec-06,11.77,284.11
31-Dec-07,13.23,208.04
31-Dec-08,11.64,266.54
31-Dec-09,11.58,267.8
31-Dec-10,13.39,264.15
31-Dec-11,13.67,262.73
31-Dec-12,13.02,249.59
31-Dec-13,12.62,220.14
31-Dec-14,10.94,194.79
31-Dec-15,10.98,235.95
31-Dec-16,12.7,215.13
31-Dec-17,13.25,135.45
31-Dec-18,9.09,125.13
31-Dec-19,7.38,120.33
31-Dec-20,6.91,98.42
31-Dec-21,6.99,113.61
31-Dec-22,7.94,139.33
31-Dec-23,8.06,134.24
31-Dec-24,8.36,160.85
31-Dec-25,8.82,185.87
31-Dec-26,10.25,201.39
31-Dec-27,11.71,266.51
31-Dec-28,13.07,382.37
31-Dec-29,14.83,333.92
31-Dec-30,16.01,264.34
31-Dec-31,14.77,152.66
31-Dec-32,10.04,144.56
31-Dec-33,8.77,210.01
31-Dec-34,8.83,179.08
31-Dec-35,8.96,262.25
31-Dec-36,13.53,328.11
31-Dec-37,14.61,209.49
31-Dec-38,9.58,234.83
31-Dec-39,11.65,232.74
31-Dec-40,12.5,196.79
31-Dec-41,12.05,149.6
31-Dec-42,9.18,157.03
31-Dec-43,9.22,179.12
31-Dec-44,9.46,199.33
31-Dec-45,9.54,260.41
31-Dec-46,8.69,186.07
31-Dec-47,9.44,164.58
31-Dec-48,10.15,168.33
31-Dec-49,12.7,188.92
31-Dec-50,15.47,219.63
31-Dec-51,13.99,240.09
31-Dec-52,13.89,258.86
31-Dec-53,14.18,248.93
31-Dec-54,15.17,350.69
31-Dec-55,16.09,433.29
31-Dec-56,16.58,432.92
31-Dec-57,16.58,378.15
31-Dec-58,15.93,504.44
31-Dec-59,16.37,520.91
31-Dec-60,17.21,527.09
31-Dec-61,17.71,605.55
31-Dec-62,18.43,562.88
31-Dec-63,19.41,650.73
31-Dec-64,21.07,725.99
31-Dec-65,22.5,771.84
31-Dec-66,22.94,675.12
31-Dec-67,22.65,733.05
31-Dec-68,22.75,753.58
31-Dec-69,22.05,628.38
31-Dec-70,20.75,617.82
31-Dec-71,19.65,661.05
31-Dec-72,19.49,731.01
31-Dec-73,19.24,542.45
31-Dec-74,18.24,366.3
31-Dec-75,17.44,458.19
31-Dec-76,18.3,466.68
31-Dec-77,19.78,379.79
31-Dec-78,19.7,383.97
31-Dec-79,19.37,374.91
31-Dec-80,18.77,402.08
31-Dec-81,18.55,327.16
31-Dec-82,18.51,388.07
31-Dec-83,18.41,429.49
31-Dec-84,18.81,427.8
31-Dec-85,19.01,499.63
31-Dec-86,19.71,625.6
31-Dec-87,20.08,569.45
31-Dec-88,21.28,619.85
31-Dec-89,23.06,701.86
31-Dec-90,23.76,636.02
31-Dec-91,23.27,792.43
31-Dec-92,22.96,802.75
31-Dec-93,22.69,850.91
31-Dec-94,23.14,814.15
31-Dec-95,23.62,1046.64
31-Dec-96,24.71,1266.67
31-Dec-97,25.27,1567.93
31-Dec-98,25.99,1999.05
31-Dec-99,26.09,2221.27
31-Dec-00,24.59,2006.22
31-Dec-01,23.43,1693.34
31-Dec-02,23.37,1296.74
31-Dec-03,24.81,1608.36
31-Dec-04,26.87,1629.4
31-Dec-05,29.69,1696.04
31-Dec-06,32.43,1850.52
31-Dec-07,34.73,1717.99
31-Dec-08,35.51,1078.22
31-Dec-09,27.29,1363.8
31-Dec-10,27.27,1531.84
31-Dec-11,30.8,1509.15
31-Dec-12,35.79,1690.84
31-Dec-13,39.49,2049.05
31-Dec-14,44.18,2282.51
31-Dec-15,48.25,2129.95
31-Dec-16,49.79,2464.14
31-Dec-17,52.21,2960.28
31-Dec-18,56.27,2724.46
31-Dec-19,59.61,3342.29
31-Dec-20,58.85,3814.52
