NLS Time (ET),NLS Price,NLS Share Volume
12:28:40,738.24,100
12:28:40,738.26,100
12:28:43,738.15,100
12:28:43,738.15,600
12:28:43,738.26,100
12:28:43,738.20,200
12:28:44,737.80,100
12:28:44,738.00,183
12:28:45,737.83,100
12:28:46,737.87,100
12:28:46,737.85,100
12:28:46,737.78,100
12:28:46,737.77,100
12:28:46,737.76,100
12:28:53,737.87,184
12:28:54,737.86,100
12:28:54,737.86,498
12:28:54,737.97,100
12:28:55,737.86,100
12:28:56,738.01,100
12:28:56,738.06,100
12:28:56,737.93,100
12:28:56,737.99,100
12:28:57,738.09,200
12:28:57,738.09,300
12:28:57,738.05,100
12:28:59,738.07,100
12:29:01,737.99,100
12:29:02,738.04,100
12:29:05,737.97,100
12:29:11,737.99,100
12:29:11,737.98,100
12:29:11,737.99,100
12:29:11,738.00,677
12:29:13,737.98,100
12:29:15,737.91,100
12:29:15,737.93,100
12:29:16,737.86,100
12:29:17,738.00,100
12:29:17,737.96,100
12:29:17,737.97,100
12:29:20,737.98,100
12:29:26,738.10,217
12:29:26,738.07,100
12:29:32,738.19,100
12:29:32,738.11,100
12:29:32,738.14,100
12:29:34,738.19,100
12:29:35,738.22,100
12:29:35,738.20,100
12:29:35,738.24,100
12:29:39,738.24,100
12:29:40,738.28,100
12:29:47,738.19,300
12:29:48,738.33,268
12:29:48,738.30,100
12:29:49,738.38,479
12:29:49,738.28,100
12:29:50,738.31,100
12:29:57,738.24,200
